time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
1236.212947,      32,       2,    2615,  225898,       0,    2040, 4178521,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1237.212836,      32,       2,    2615,  225898,       0,    2040, 4178521,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1238.213298,      32,       2,    2615,  225898,       0,    2040, 4178521,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1239.214124,      32,       2,    2615,  225898,       0,    2040, 4178521,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1240.216503,      32,       2,    2616,  226240,       0,    2041, 4178863,       0,0.997774,341.238736,0.000000,0.997774,341.238736,0.000000
1241.215750,      32,       2,    2616,  226240,       0,    2041, 4178863,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1242.215357,      32,       2,    2617,  226582,       0,    2041, 4178863,       0,1.000808,342.276233,0.000000,0.000000,0.000000,0.000000
1243.216496,      32,       2,    2617,  226582,       0,    2041, 4178863,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1244.216949,      32,       2,    2618,  226924,       0,    2041, 4178863,       0,0.999886,341.960947,0.000000,0.000000,0.000000,0.000000
1245.217691,      32,       2,    2618,  226924,       0,    2041, 4178863,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1246.217606,      32,       2,    2619,  227266,       0,    2041, 4178863,       0,1.000435,342.148792,0.000000,0.000000,0.000000,0.000000
1247.218365,      32,       2,    2619,  227266,       0,    2041, 4178863,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1248.218105,      32,       2,    2619,  227266,       0,    2041, 4178863,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1249.220221,      32,       2,    2624,  227816,       0,    2042, 4178973,       0,4.990627,548.969023,0.000000,0.998125,109.793805,0.000000
1250.219137,      32,       2,    2631,  228458,       0,    2044, 4179161,       0,7.008144,642.746905,0.000000,2.002327,188.218720,0.000000
1251.220045,      32,       2,    2659,  234763,       0,    2052, 4181010,       0,27.979994,6300.495037,0.000000,7.994284,1847.678878,0.000000
1252.221222,      32,       2,    2679,  238594,       0,    2056, 4181753,       0,19.981478,3827.452061,0.000000,3.996296,742.311898,0.000000
1253.220283,      32,       2,    2687,  239578,       0,    2058, 4181941,       0,8.008361,985.028404,0.000000,2.002090,188.196484,0.000000
1254.219825,      32,       2,    2714,  244504,       0,    2066, 4183539,       0,27.019184,4929.499997,0.000000,8.005684,1599.135403,0.000000
1255.220947,      32,       2,    2730,  248234,       0,    2070, 4184493,       0,15.983138,3726.068989,0.000000,3.995784,952.994589,0.000000
1256.221253,      32,       2,    2739,  251070,       0,    2071, 4184814,       0,8.999837,2835.948613,0.000000,0.999982,320.994184,0.000000
1257.220780,      32,       2,    2746,  252281,       0,    2073, 4185182,       0,7.004160,1211.719641,0.000000,2.001189,368.218685,0.000000
1258.223313,      32,       2,    2756,  254448,       0,    2075, 4185573,       0,9.975709,2161.736239,0.000000,1.995142,390.050240,0.000000
1259.222875,      32,       2,    2776,  256440,       0,    2080, 4186071,       0,20.011288,1993.124318,0.000000,5.002822,498.281080,0.000000
1260.222198,      32,       2,    2797,  258774,       0,    2085, 4186569,       0,21.019861,2336.207372,0.000000,5.004729,498.470982,0.000000
1261.224891,      32,       2,    2801,  259202,       0,    2086, 4186676,       0,3.989695,426.897313,0.000000,0.997424,106.724328,0.000000
1262.223175,      32,       2,    2822,  261456,       0,    2091, 4187154,       0,21.043076,2258.623542,0.000000,5.010256,478.980503,0.000000
1263.224413,      32,       2,    2823,  261798,       0,    2092, 4187496,       0,0.999113,341.696618,0.000000,0.999113,341.696618,0.000000
1264.223728,      32,       2,    2823,  261798,       0,    2092, 4187496,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1265.224426,      32,       2,    2823,  261798,       0,    2092, 4187496,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1266.224433,      32,       2,    2825,  262482,       0,    2092, 4187496,       0,2.000298,684.101939,0.000000,0.000000,0.000000,0.000000
1267.224579,      32,       2,    2825,  262482,       0,    2092, 4187496,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1268.224807,      32,       2,    2825,  262482,       0,    2092, 4187496,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1269.226574,      32,       2,    2829,  262910,       0,    2093, 4187603,       0,3.993447,427.298788,0.000000,0.998362,106.824697,0.000000
1270.226268,      32,       2,    2829,  262910,       0,    2093, 4187603,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
